"X.1","X","Platform","AlbumNo","Album","Song","Streams"
26069,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track5",135533
26070,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track6",474040
26071,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track7",207422
26072,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track8",405772
26073,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track9",81714
26074,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track10",113094
26075,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track11",187206
26076,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track12",282817
26077,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track13",501685
26078,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track14",75533
26079,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track15",116859
26080,"Kendrick Lamar","Genius",3,"Overly_Dedicated","Track16",43019
26081,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track1",659320
26082,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track2",1230273
26083,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track3",611307
26084,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track4",489624
26085,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track5",759775
26086,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track6",3365438
26087,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track7",292150
26088,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track8",281965
26089,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track9",903872
26090,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track10",557205
26091,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track11",8548596
26092,"Kendrick Lamar","YouTube",3,"Overly_Dedicated","Track12",343133
26093,"Kendrick Lamar","Deezer",4,"Section.80","Track1",3.87
26094,"Kendrick Lamar","Deezer",4,"Section.80","Track2",3.97
26095,"Kendrick Lamar","Deezer",4,"Section.80","Track3",5.96
26096,"Kendrick Lamar","Deezer",4,"Section.80","Track4",3.76
26097,"Kendrick Lamar","Deezer",4,"Section.80","Track5",3.58
26098,"Kendrick Lamar","Deezer",4,"Section.80","Track6",3.77
26099,"Kendrick Lamar","Deezer",4,"Section.80","Track7",3.64
26100,"Kendrick Lamar","Deezer",4,"Section.80","Track8",3.77
26101,"Kendrick Lamar","Deezer",4,"Section.80","Track9",2.98
26102,"Kendrick Lamar","Deezer",4,"Section.80","Track10",3.67
26103,"Kendrick Lamar","Deezer",4,"Section.80","Track11",4.96
26104,"Kendrick Lamar","Deezer",4,"Section.80","Track12",3.44
26105,"Kendrick Lamar","Deezer",4,"Section.80","Track13",4.16
26106,"Kendrick Lamar","Deezer",4,"Section.80","Track14",3.45
26107,"Kendrick Lamar","Deezer",4,"Section.80","Track15",4.61
26108,"Kendrick Lamar","Spotify",4,"Section.80","Track1",28767552
26109,"Kendrick Lamar","Spotify",4,"Section.80","Track2",54779240
26110,"Kendrick Lamar","Spotify",4,"Section.80","Track3",257053325
26111,"Kendrick Lamar","Spotify",4,"Section.80","Track4",22350521
26112,"Kendrick Lamar","Spotify",4,"Section.80","Track5",27172099
26113,"Kendrick Lamar","Spotify",4,"Section.80","Track6",19615201
26114,"Kendrick Lamar","Spotify",4,"Section.80","Track7",35917630
26115,"Kendrick Lamar","Spotify",4,"Section.80","Track8",30869034
26116,"Kendrick Lamar","Spotify",4,"Section.80","Track9",11341250
26117,"Kendrick Lamar","Spotify",4,"Section.80","Track10",21420991
26118,"Kendrick Lamar","Spotify",4,"Section.80","Track11",86225658
26119,"Kendrick Lamar","Spotify",4,"Section.80","Track12",18675059
26120,"Kendrick Lamar","Spotify",4,"Section.80","Track13",47459156
26121,"Kendrick Lamar","Spotify",4,"Section.80","Track14",10768938
26122,"Kendrick Lamar","Spotify",4,"Section.80","Track15",72900514
26123,"Kendrick Lamar","Last.fm",4,"Section.80","Track1",653048
26124,"Kendrick Lamar","Last.fm",4,"Section.80","Track2",1616154
26125,"Kendrick Lamar","Last.fm",4,"Section.80","Track3",3566453
26126,"Kendrick Lamar","Last.fm",4,"Section.80","Track4",311220
26127,"Kendrick Lamar","Last.fm",4,"Section.80","Track5",762192
26128,"Kendrick Lamar","Last.fm",4,"Section.80","Track6",832355
26129,"Kendrick Lamar","Last.fm",4,"Section.80","Track7",990775
26130,"Kendrick Lamar","Last.fm",4,"Section.80","Track8",365112
26131,"Kendrick Lamar","Last.fm",4,"Section.80","Track9",659732
26132,"Kendrick Lamar","Last.fm",4,"Section.80","Track10",317593
26133,"Kendrick Lamar","Last.fm",4,"Section.80","Track11",1716371
26134,"Kendrick Lamar","Last.fm",4,"Section.80","Track12",NA
26135,"Kendrick Lamar","Last.fm",4,"Section.80","Track13",926101
26136,"Kendrick Lamar","Last.fm",4,"Section.80","Track14",383766
26137,"Kendrick Lamar","Last.fm",4,"Section.80","Track15",1509723
26138,"Kendrick Lamar","Genius",4,"Section.80","Track1",560194
26139,"Kendrick Lamar","Genius",4,"Section.80","Track2",569977
26140,"Kendrick Lamar","Genius",4,"Section.80","Track3",2248798
26141,"Kendrick Lamar","Genius",4,"Section.80","Track4",374642
26142,"Kendrick Lamar","Genius",4,"Section.80","Track5",306158
26143,"Kendrick Lamar","Genius",4,"Section.80","Track6",172731
26144,"Kendrick Lamar","Genius",4,"Section.80","Track7",650805
26145,"Kendrick Lamar","Genius",4,"Section.80","Track8",461107
26146,"Kendrick Lamar","Genius",4,"Section.80","Track9",594775
26147,"Kendrick Lamar","Genius",4,"Section.80","Track10",104545
26148,"Kendrick Lamar","Genius",4,"Section.80","Track11",590412
26149,"Kendrick Lamar","Genius",4,"Section.80","Track12",1549036
26150,"Kendrick Lamar","Genius",4,"Section.80","Track13",320202
26151,"Kendrick Lamar","Genius",4,"Section.80","Track14",619682
26152,"Kendrick Lamar","Genius",4,"Section.80","Track15",327264
26153,"Kendrick Lamar","Genius",4,"Section.80","Track16",1535174
26154,"Kendrick Lamar","YouTube",4,"Section.80","Track1",589177
26155,"Kendrick Lamar","YouTube",4,"Section.80","Track2",347535
26156,"Kendrick Lamar","YouTube",4,"Section.80","Track3",78476732
26157,"Kendrick Lamar","YouTube",4,"Section.80","Track4",239269
26158,"Kendrick Lamar","YouTube",4,"Section.80","Track5",883663
26159,"Kendrick Lamar","YouTube",4,"Section.80","Track6",422706
26160,"Kendrick Lamar","YouTube",4,"Section.80","Track7",274165
26161,"Kendrick Lamar","YouTube",4,"Section.80","Track8",489140
26162,"Kendrick Lamar","YouTube",4,"Section.80","Track9",180076
26163,"Kendrick Lamar","YouTube",4,"Section.80","Track10",405378
26164,"Kendrick Lamar","YouTube",4,"Section.80","Track11",1840744
26165,"Kendrick Lamar","YouTube",4,"Section.80","Track12",236569
26166,"Kendrick Lamar","YouTube",4,"Section.80","Track13",261385
26167,"Kendrick Lamar","YouTube",4,"Section.80","Track14",151704
26168,"Kendrick Lamar","YouTube",4,"Section.80","Track15",1674951
26169,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track1",3.91
26170,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track2",4.71
26171,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track3",4.31
26172,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track4",3.94
26173,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track5",5.56
26174,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track6",4.26
26175,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track7",3.89
26176,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track8",4.38
26177,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track9",5.14
26178,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track10",4.22
26179,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track11",3.6
26180,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track12",3.37
26181,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track13",3.29
26182,"Kendrick Lamar","Deezer",5,"good_kid,_m.A.A.d_city","Track14",2.91
26183,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track1",47061678
26184,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track2",400587413
26185,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track3",277112263
26186,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track4",77161762
26187,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track5",524771885
26188,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track6",305504745
26189,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track7",58748601
26190,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track8",487417572
26191,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track9",260516187
26192,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track10",93281030
26193,"Kendrick Lamar","Spotify",5,"good_kid,_m.A.A.d_city","Track11",49450921
