"","X.duration_ms.","X.key.","X.mode.","X.time_signature.","X.acousticness.","X.danceability.","X.energy.","X.instrumentalness.","X.liveliness.","X.loudness.","X.speechiness.","X.valence.","X.tempo.","Country","Pop","Pop-Rock","R&B","Rap","Rock","Trap"
"X.speechiness.",-0.0141387994931148,0.0363616772177429,-0.161487317915105,-0.118404210279257,-0.0967972127307321,0.445469022163419,0.004014377309727,-0.081598185611896,0.273831912129918,-0.0079312384164197,1,0.0114390254849856,-0.171497568877985,-0.278999769784857,-0.297176979893573,-0.141706942635072,-0.0735591785087331,0.787836033761235,-0.389661290277599,0.29314245703854
"X.valence.",-0.187096851029495,0.100568195348599,0.0817822301892888,0.0246380185518788,-0.21322846416434,0.231690355012942,0.443489838484225,-0.118788023818088,0.108180892896143,0.237249439151482,0.0114390254849856,1,-0.04423140159177,0.0898816275916619,-0.00704568901327009,-0.0332443212849188,-0.0538244832264058,-0.0794890778262954,0.0413961616369114,-0.226799883150293
"X.tempo.",-0.139490817330999,0.0242709931762397,0.090303362298299,0.0312224727077863,-0.223535041226285,-0.020417349341793,0.161385101064416,-0.0773188129702359,-0.0666749222915837,0.131266935837248,-0.171497568877985,-0.04423140159177,1,0.13861881069848,-0.044642041416906,0.120665133248446,-0.10260903166626,-0.0243166468940821,0.126220263541837,0.262192291087358
"Country",-0.0548194350651804,-0.0283811849548331,0.223109939979165,0.0208894724260196,0.0285669951293815,-0.16076456322464,0.0754846464135403,-0.063615159948239,-0.16060624533372,0.0987976696095118,-0.278999769784857,0.0898816275916619,0.13861881069848,1,-0.274888668451561,-0.099098477006712,-0.130742389913193,-0.277481857002036,0.140188506798984,-0.129065483282904
"Pop",-0.0989880517501087,0.0336015958974812,-0.0745761922762578,0.0391081057554564,0.00682648773469507,0.0112811409013361,-0.00333962645382428,-0.0741325864144769,-0.143000538746718,0.142160230553463,-0.297176979893573,-0.00704568901327009,-0.044642041416906,-0.274888668451561,1,0.221413148142473,0.137966407538115,-0.376209947663278,-0.257184490339665,-0.183757320507492
"Pop-Rock",-0.00783488480523301,-0.00200937047496041,0.10415018958705,0.0125100990493461,-0.116136765184146,-0.145551520928357,0.145856215997177,-0.036181120752221,-0.0456131504794467,0.0735394630465717,-0.141706942635072,-0.0332443212849188,0.120665133248446,-0.099098477006712,0.221413148142473,1,-0.0947959204256895,-0.130574805138361,0.284989196571877,-0.0772935738534836
"R&B",0.0787477842369419,0.0439693453151934,-0.219738233594674,0.0185615117300953,-0.0136328729344682,0.0704199034837426,-0.0996881386148446,-0.0528427579339003,-0.0802667583954214,0.036078651842687,-0.0735591785087331,-0.0538244832264058,-0.10260903166626,-0.130742389913193,0.137966407538115,-0.0947959204256895,1,-0.143138785496612,-0.23002630291755,-0.0276545807458975
"Rap",-0.0300648630465215,0.0186608352248437,-0.226382199785314,-0.0322909287651416,-0.0970633851253796,0.507966517452115,0.0124898581616834,-0.0971331969306209,0.220308933350085,0.0600577830317183,0.787836033761235,-0.0794890778262954,-0.0243166468940821,-0.277481857002036,-0.376209947663278,-0.130574805138361,-0.143138785496612,1,-0.406275429329712,0.435963647488683
"Rock",0.182437298285757,-0.0823941448497582,0.256191395914157,-0.0123814537282186,0.0320232222935096,-0.502134967599209,0.0736060199937379,0.19962022108849,0.019063955021491,-0.211396196387925,-0.389661290277599,0.0413961616369114,0.126220263541837,0.140188506798984,-0.257184490339665,0.284989196571877,-0.23002630291755,-0.406275429329712,1,-0.194692737888273
"Trap",-0.0974694733088158,-0.0812346952442831,-0.0776962009182105,0.015134465399986,-0.0754583081861796,0.395017767124757,-0.127845458160626,-0.0409029933660871,-0.0313927072965733,0.0217539260794748,0.29314245703854,-0.226799883150293,0.262192291087358,-0.129065483282904,-0.183757320507492,-0.0772935738534836,-0.0276545807458975,0.435963647488683,-0.194692737888273,1
