"","X.duration_ms.","X.key.","X.mode.","X.time_signature.","X.acousticness.","X.danceability.","X.energy.","X.instrumentalness.","X.liveliness.","X.loudness.","X.speechiness.","X.valence.","X.tempo.","Country","Pop","Pop.Rock","R.B","Rap","Rock","Trap","Streams","Time"
"X.speechiness.",0.130380992598169,0.170486228677645,-0.0478051426018704,NA,-0.0630325187356561,0.567219557109138,0.0236516123287388,-0.140929691420794,0.566278253366591,-0.0453839793690393,1,0.0447843619214664,-0.19356220478287,-0.282895396509944,-0.364845520864906,-0.132661159323885,-0.0650031611312645,0.841120586004213,-0.318230860065745,0.321751253799951,0.0648957076422388,0.0892565673950478
"X.valence.",-0.0129066178850691,0.326606073393061,-0.0977806831400845,NA,-0.33845431294011,0.235275304197511,0.596252874120067,-0.127294333553968,0.195675725077861,0.404819318787561,0.0447843619214664,1,-0.0875684451870515,0.20053413394635,-0.0277018469929976,-0.0357913956734219,0.0258916075661617,-0.0270740956905141,-0.068479491143946,-0.234570689711413,-0.343735165630421,-0.303066261844844
"X.tempo.",-0.297295695792957,0.0259876355444889,0.0470947764545553,NA,-0.238368151808708,-0.0205291790545293,0.169822500737704,0.0658616227110929,-0.228107637831476,0.222444811865455,-0.19356220478287,-0.0875684451870515,1,0.133286412248049,-0.0102671170510066,0.14388766402784,-0.251109006747334,0.0275343693590961,0.14388334554745,0.435708065189104,-0.147437480367838,0.185654923644477
"Country",-0.106273812823565,-0.0262747005917504,0.17291712531127,NA,-0.00611698332304126,-0.272158187436402,0.17597860044704,-0.0261096929959899,-0.181181030662129,0.10476664629054,-0.282895396509944,0.20053413394635,0.133286412248049,1,-0.372388986515725,-0.0925631214715037,-0.148992387392971,-0.251609804141356,0.098440145056996,-0.126886480331344,-0.335844982906134,-0.00206086133999733
"Pop",-0.102424736694799,-0.0492157804713195,-0.0630592563782601,NA,0.0113157726987156,-0.0326991977648262,-0.0362796122282845,-0.153667478158307,-0.288791634329929,0.173004071557241,-0.364845520864906,-0.0277018469929976,-0.0102671170510066,-0.372388986515725,1,0.156504316722064,0.0913805905864018,-0.441505262960232,-0.191283053771411,-0.220146558914069,0.256212110871102,0.212121338205655
"Pop.Rock",-0.108938098612404,-0.077189215410348,0.0983210288016693,NA,-0.163055260927069,-0.217096313310346,0.258475787796026,-0.0494655070853356,0.000952534685738584,0.161938656185505,-0.132661159323885,-0.0357913956734219,0.14388766402784,-0.0925631214715037,0.156504316722064,1,-0.0847173742087358,-0.143065845879825,0.473684210526316,-0.0721479105365823,0.0718976641063105,0.137286786232318
"R.B",0.207169536294633,0.0427513411747599,-0.325313226159665,NA,-0.011938475839236,0.0863048512465464,-0.121888985110578,-0.0713222522250764,-0.00830971995441771,-0.0893580721215872,-0.0650031611312645,0.0258916075661617,-0.251109006747334,-0.148992387392971,0.0913805905864018,-0.0847173742087358,1,-0.230283093235919,-0.17884778999622,-0.116131449170815,0.0894116714556985,-0.0118134467356605
"Rap",0.00626181968572482,0.152771923812145,-0.146357346761566,NA,-0.0636054460705521,0.598251243890342,0.0298273492568802,-0.135770447950612,0.498447022275551,0.0555316840204884,0.841120586004213,-0.0270740956905141,0.0275343693590961,-0.251609804141356,-0.441505262960232,-0.143065845879825,-0.230283093235919,1,-0.302027896857409,0.504298633212473,0.134856265218291,0.158173983116961
"Rock",0.160965440700909,-0.232120973940079,0.20756661635908,NA,-0.0373466674394212,-0.523765657384729,0.10007026837567,0.329972684426446,-0.116213151555931,-0.209031529024103,-0.318230860065745,-0.068479491143946,0.14388334554745,0.098440145056996,-0.191283053771411,0.473684210526316,-0.17884778999622,-0.302027896857409,1,-0.152312255577229,-0.184119456274953,-0.338084300966241
"Trap",-0.193317419448857,-0.0678864054020717,-0.0648938232256426,NA,-0.044066989296914,0.468020170829845,-0.157581886120624,-0.0687538617973768,-0.0291078896708373,0.010282905500028,0.321751253799951,-0.234570689711413,0.435708065189104,-0.126886480331344,-0.220146558914069,-0.0721479105365823,-0.116131449170815,0.504298633212473,-0.152312255577229,1,0.1120377934704,0.271046906970932
"Streams",-0.0188161250650582,0.0392425744563792,0.045806693909287,NA,0.148777176332365,0.150516005366177,-0.233078441673934,0.0204012002591902,0.0584008953989502,-0.0407267108106587,0.0648957076422388,-0.343735165630421,-0.147437480367838,-0.335844982906134,0.256212110871102,0.0718976641063105,0.0894116714556985,0.134856265218291,-0.184119456274953,0.1120377934704,1,0.201953571211935
"Time",-0.444100456135115,-0.133310318207621,-0.0938222418630195,NA,0.149265913382778,0.238484265351485,-0.203756580196035,-0.307757828858954,-0.186708427323292,0.15497779418643,0.0892565673950478,-0.303066261844844,0.185654923644477,-0.00206086133999733,0.212121338205655,0.137286786232318,-0.0118134467356605,0.158173983116961,-0.338084300966241,0.271046906970932,0.201953571211935,1
